locusnum,snpid,geneid,chrnum,chrpos,A1,A2,zscore_SCHI,zscore_FATH,zscore_BORN,zscore_BROT,zscore_SIST,zscore_BIRT,zscore_TERM,conjfdr_SCHI_FATH,prune_SCHI_FATH,conjfdr_SCHI_BORN,prune_SCHI_BORN,conjfdr_SCHI_BROT,prune_SCHI_BROT,conjfdr_SCHI_SIST,prune_SCHI_SIST,conjfdr_SCHI_BIRT,prune_SCHI_BIRT,conjfdr_SCHI_TERM,prune_SCHI_TERM,min_conjfdr,pval_SCHI,pval_FATH,pval_BORN,pval_BROT,pval_SIST,pval_BIRT,pval_TERM
1,,,1,117864047,,,3.963475,2.644881,NaN,3.702027,0.861598,4.413987,-0.200208,1.416000e-01,0,NaN,0,3.265214e-03,0,8.108029e-01,0,3.972575e-03,1,1.000000e+00,0,3.265214e-03,7.386652e-05,8.171976e-03,NaN,2.138842e-04,3.889087e-01,1.014842e-05,8.413177e-01
1,,,1,117864775,,,3.945820,2.662454,3.769267,3.708214,1.668519,4.354777,-0.220989,1.368318e-01,0,7.020194e-03,1,3.208022e-03,1,6.492621e-01,0,4.230493e-03,0,1.000000e+00,0,3.208022e-03,7.952722e-05,7.757317e-03,1.637277e-04,2.087260e-04,9.521268e-02,1.332022e-05,8.251009e-01
2,,,1,197595569,,,3.797875,-2.146603,NaN,3.633634,2.188330,-1.805597,-0.771938,2.988661e-01,0,NaN,0,3.929543e-03,0,4.800075e-01,0,4.799392e-01,0,8.295213e-01,0,3.929543e-03,1.459418e-04,3.182488e-02,NaN,2.794576e-04,2.864557e-02,7.098134e-02,4.401512e-01
2,,,1,197599030,,,3.770863,-2.029545,-2.951721,3.666658,2.229265,-1.727848,-0.835613,3.382004e-01,0,8.936103e-02,0,3.590492e-03,1,4.618029e-01,0,5.025218e-01,0,8.044280e-01,0,3.590492e-03,1.626841e-04,4.240285e-02,3.160078e-03,2.457413e-04,2.579626e-02,8.401552e-02,4.033725e-01
3,,,2,17754316,,,-3.979732,-2.464788,0.419465,-3.382394,-0.746614,-1.684998,0.836668,1.945539e-01,0,9.995175e-01,0,7.316542e-03,1,8.541433e-01,0,5.140070e-01,0,8.040049e-01,0,7.316542e-03,6.899313e-05,1.370943e-02,6.748764e-01,7.185711e-04,4.552964e-01,9.198891e-02,4.027795e-01
4,,,2,203028129,,,3.276093,0.930343,NaN,4.246369,-0.052044,-0.131926,1.391894,6.905799e-01,0,NaN,0,9.204251e-03,1,9.999506e-01,0,1.000000e+00,0,6.858585e-01,0,9.204251e-03,1.052539e-03,3.521933e-01,NaN,2.172632e-05,9.584937e-01,8.950426e-01,1.639545e-01
5,,,3,85518580,,,3.335648,7.007236,4.401580,3.378874,-0.719760,5.964740,1.380602,1.783965e-02,0,3.534251e-02,0,7.959549e-03,0,8.643225e-01,0,2.918250e-02,0,6.817929e-01,0,7.959549e-03,8.510083e-04,2.430713e-12,1.074656e-05,7.278326e-04,4.716728e-01,2.450233e-09,1.674015e-01
5,,,3,85524170,,,3.319724,6.951826,4.385746,3.379748,-0.748010,5.969326,1.301891,1.877020e-02,0,3.712497e-02,0,8.282175e-03,0,8.536098e-01,0,3.038898e-02,0,6.943838e-01,0,8.282175e-03,9.010662e-04,3.605887e-12,1.155889e-05,7.255233e-04,4.544540e-01,2.382355e-09,1.929537e-01
5,,,3,85525323,,,3.316212,6.955514,4.517158,3.377831,-0.763676,5.937699,1.355627,1.897487e-02,0,3.751702e-02,0,8.353136e-03,0,8.475930e-01,0,3.065434e-02,0,6.858378e-01,0,8.353136e-03,9.124656e-04,3.512778e-12,6.267511e-06,7.305985e-04,4.450601e-01,2.890507e-09,1.752179e-01
5,,,3,85534767,,,3.317184,6.932794,4.393595,3.379136,-0.743521,5.984775,1.308270,1.891822e-02,0,3.740852e-02,0,8.333497e-03,0,8.553241e-01,0,3.058090e-02,0,6.933804e-01,0,8.333497e-03,9.092963e-04,4.126083e-12,1.114916e-05,7.271402e-04,4.571666e-01,2.166898e-09,1.907816e-01
5,,,3,85536314,,,3.318854,6.926969,4.401045,3.388075,-0.834168,6.016515,1.312863,1.882089e-02,0,3.722208e-02,0,8.299751e-03,0,8.198431e-01,0,3.045470e-02,0,6.926562e-01,0,8.299751e-03,9.038764e-04,4.299532e-12,1.077306e-05,7.038499e-04,4.041861e-01,1.782121e-09,1.892292e-01
