locusnum,snpid,geneid,chrnum,chrpos,pval_SCHI,fdr_SCHI,conjfdr_SCHI_FATH,prune_SCHI_FATH,conjfdr_SCHI_BORN,prune_SCHI_BORN,conjfdr_SCHI_BROT,prune_SCHI_BROT,conjfdr_SCHI_SIST,prune_SCHI_SIST,conjfdr_SCHI_BIRT,prune_SCHI_BIRT,conjfdr_SCHI_TERM,prune_SCHI_TERM,min_conjfdr
1,,,1,117864047,7.386652e-05,2.899757e-01,1.416000e-01,0,NaN,0,3.265214e-03,0,8.108029e-01,0,3.972575e-03,1,1.000000e+00,0,3.265214e-03
1,,,1,117864775,7.952722e-05,2.964266e-01,1.368318e-01,0,7.020194e-03,1,3.208022e-03,1,6.492621e-01,0,4.230493e-03,0,1.000000e+00,0,3.208022e-03
2,,,1,197599030,1.626841e-04,3.779461e-01,3.382004e-01,0,8.936103e-02,0,3.590492e-03,1,4.618029e-01,0,5.025218e-01,0,8.044280e-01,0,3.590492e-03
3,,,2,17754316,6.899313e-05,2.840259e-01,1.945539e-01,0,9.995175e-01,0,7.316542e-03,1,8.541433e-01,0,5.140070e-01,0,8.040049e-01,0,7.316542e-03
4,,,2,203028129,1.052539e-03,6.852207e-01,6.905799e-01,0,NaN,0,9.204251e-03,1,9.999506e-01,0,1.000000e+00,0,6.858585e-01,0,9.204251e-03
5,,,3,85578035,6.736412e-04,6.231124e-01,1.449134e-02,0,2.886832e-02,0,6.768797e-03,1,8.224621e-01,0,2.468404e-02,0,6.835429e-01,0,6.768797e-03
6,,,3,115115932,9.823619e-05,3.173366e-01,1.778975e-01,0,NaN,0,2.947363e-03,1,6.864736e-01,0,5.137695e-01,0,9.976309e-01,0,2.947363e-03
7,,,3,135111050,3.329277e-04,4.872502e-01,9.919736e-03,1,6.846862e-01,0,2.311569e-01,0,9.216480e-01,0,6.564631e-01,0,6.931879e-01,0,9.919736e-03
8,,,3,140114278,3.826317e-04,5.121660e-01,5.672025e-01,0,1.000000e+00,0,4.543780e-03,1,8.732382e-01,0,5.335101e-01,0,8.046393e-01,0,4.543780e-03
9,,,4,78628215,9.332012e-04,6.714735e-01,8.032913e-01,0,9.996350e-01,0,8.479972e-03,1,9.987903e-01,0,7.916507e-01,0,8.425132e-01,0,8.479972e-03
10,,,4,105124943,8.848636e-04,6.649932e-01,8.620143e-01,0,NaN,0,8.179752e-03,1,6.039880e-01,0,7.341732e-01,0,6.909415e-01,0,8.179752e-03
11,,,4,137433296,2.114690e-05,2.114077e-01,1.157734e-03,0,NaN,0,5.516346e-03,1,8.621643e-01,0,5.901735e-01,0,9.926793e-01,0,1.157734e-03
11,,,4,137448587,2.520201e-05,2.173284e-01,7.737934e-04,1,9.734934e-01,0,9.251014e-03,0,9.781736e-01,0,5.327670e-01,0,1.000000e+00,0,7.737934e-04
12,,,6,403799,5.726873e-05,2.685998e-01,5.284021e-01,0,1.000000e+00,0,6.486111e-03,1,6.549940e-01,0,7.875967e-01,0,7.136096e-01,0,6.486111e-03
12,,,6,462968,2.121693e-07,2.295475e-02,3.341673e-01,0,NaN,0,1.032905e-05,1,9.997580e-01,0,1.000000e+00,0,9.714628e-01,0,1.032905e-05
13,,,6,506231,1.420860e-04,3.601616e-01,5.381715e-01,0,3.992604e-01,0,6.027433e-03,1,7.786576e-01,0,6.904381e-01,0,6.624610e-01,0,6.027433e-03
14,,,6,152203104,2.748396e-07,2.384916e-02,2.101518e-01,0,1.471119e-03,0,1.290410e-03,0,5.909152e-01,0,3.119591e-05,1,7.726548e-01,0,3.119591e-05
14,,,6,152215199,1.681706e-05,2.042170e-01,6.838552e-03,1,NaN,0,4.755708e-04,0,6.901343e-01,0,9.829734e-04,0,9.810727e-01,0,4.755708e-04
14,,,6,152225383,1.461123e-05,1.994413e-01,7.688721e-03,0,6.917429e-04,1,4.275107e-04,0,6.929180e-01,0,8.581876e-04,0,9.876257e-01,0,4.275107e-04
14,,,6,152227421,8.952384e-06,1.763692e-01,1.623226e-02,0,7.106757e-03,0,2.922478e-04,1,7.193662e-01,0,5.321359e-04,0,8.269381e-01,0,2.922478e-04
15,,,7,8394248,7.776312e-05,2.944571e-01,5.834549e-01,0,8.834286e-01,0,2.638429e-03,1,6.719327e-01,0,1.000000e+00,0,7.396930e-01,0,2.638429e-03
16,,,7,104006510,8.453057e-05,3.024652e-01,3.095334e-01,0,NaN,0,6.318550e-03,1,7.443075e-01,0,7.028653e-01,0,8.566100e-01,0,6.318550e-03
17,,,8,62494439,3.647288e-04,5.035856e-01,7.634892e-01,0,NaN,0,7.304636e-03,1,7.984954e-01,0,1.000000e+00,0,9.830777e-01,0,7.304636e-03
18,,,8,84178565,1.123624e-03,6.920157e-01,9.999736e-01,0,2.527067e-01,0,9.630599e-03,1,6.698877e-01,0,9.457603e-01,0,7.404123e-01,0,9.630599e-03
19,,,9,8371405,1.587194e-04,3.744521e-01,5.484943e-01,0,5.384713e-01,0,2.422096e-03,1,8.114604e-01,0,6.724505e-01,0,1.000000e+00,0,2.422096e-03
20,,,10,65191645,3.169782e-05,2.277143e-01,9.997056e-01,0,NaN,0,7.547900e-03,1,6.994863e-01,0,5.591526e-01,0,8.430031e-01,0,7.547900e-03
21,,,10,84459894,2.349424e-05,2.149372e-01,5.849653e-01,0,NaN,0,4.642878e-03,1,9.956660e-01,0,8.035147e-01,0,4.871535e-01,0,4.642878e-03
22,,,11,27707486,2.885244e-04,4.633870e-01,7.088636e-01,0,NaN,0,3.722944e-03,1,1.264266e-01,0,6.039294e-01,0,8.962790e-01,0,3.722944e-03
23,,,11,32515108,7.536007e-05,2.917207e-01,9.318954e-01,0,5.925778e-01,0,9.896911e-03,1,9.123168e-01,0,5.696283e-01,0,9.049674e-01,0,9.896911e-03
24,,,12,96821296,2.621700e-04,4.480831e-01,9.997475e-01,0,9.492158e-01,0,3.473633e-03,1,7.848888e-01,0,3.496341e-01,0,6.526806e-01,0,3.473633e-03
25,,,13,109809622,5.085924e-05,2.592453e-01,6.355906e-01,0,9.755030e-01,0,8.462310e-03,1,9.999227e-01,0,1.000000e+00,0,6.854156e-01,0,8.462310e-03
26,,,16,12197441,2.402673e-05,2.156887e-01,4.543605e-01,0,NaN,0,1.553866e-03,1,6.694732e-01,0,5.077996e-01,0,5.582456e-01,0,1.553866e-03
27,,,16,12531365,1.155356e-04,3.350678e-01,4.212862e-01,0,6.006234e-01,0,5.624239e-03,1,6.321435e-01,0,8.833573e-01,0,6.652525e-01,0,5.624239e-03
28,,,17,8061337,1.645072e-04,3.795243e-01,9.993569e-01,0,NaN,0,7.248794e-02,0,8.236236e-01,0,8.055354e-03,1,8.349310e-01,0,8.055354e-03
29,,,19,45395266,5.113185e-04,5.693796e-01,9.515384e-01,0,1.000000e+00,0,5.572074e-03,1,9.998106e-01,0,9.949259e-01,0,6.934765e-01,0,5.572074e-03
